Station,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
alphen-aan-den-rijn,2019,12.630,72%,10.996,1.634,32%,13%,55%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
alphen-aan-den-rijn,2020,5.900,0%,5.124,776,27%,14%,59%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
alphen-aan-den-rijn,2021,6.426,0%,5.550,876,26%,14%,60%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
alphen-aan-den-rijn,2022,9.029,0%,7.786,1.243,28%,13%,59%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
barendrecht,2019,6.066,79%,6.066,0,33%,12%,55%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
barendrecht,2020,2.904,0%,2.904,0,26%,14%,60%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
barendrecht,2021,3.177,0%,3.177,0,24%,14%,62%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
barendrecht,2022,4.494,0%,4.494,0,28%,13%,59%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
bodegraven,2019,3.448,68%,3.448,0,37%,10%,53%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
bodegraven,2020,1.650,0%,1.650,0,32%,11%,57%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
bodegraven,2021,1.799,0%,1.799,0,30%,12%,58%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
bodegraven,2022,2.603,0%,2.603,0,32%,11%,57%,36%,51%,42%,25%,1%,2%,16%,4%,5%,18%,0%,0%
boskoop,2019,1.432,78%,1.432,0,33%,9%,58%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop,2020,699,0%,699,0,29%,10%,61%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop,2021,777,0%,777,0,27%,11%,62%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop,2022,1.074,0%,1.074,0,29%,11%,60%,29%,54%,58%,27%,0%,7%,6%,3%,6%,9%,1%,0%
boskoop-snijdelwijk,2019,667,92%,667,0,35%,7%,58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
boskoop-snijdelwijk,2020,340,0%,340,0,31%,9%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
boskoop-snijdelwijk,2021,406,0%,406,0,30%,8%,62%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
boskoop-snijdelwijk,2022,563,0%,563,0,32%,8%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
capelle-schollevaar,2019,2.466,52%,2.466,0,32%,13%,55%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
capelle-schollevaar,2020,1.231,0%,1.231,0,26%,14%,60%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
capelle-schollevaar,2021,1.263,0%,1.263,0,24%,13%,63%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
capelle-schollevaar,2022,1.706,0%,1.706,0,26%,14%,60%,60%,72%,18%,16%,3%,3%,16%,3%,3%,6%,0%,0%
de-vink,2019,3.408,71%,3.408,0,41%,6%,53%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
de-vink,2020,1.454,0%,1.454,0,36%,7%,57%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
de-vink,2021,1.483,0%,1.483,0,31%,8%,61%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
de-vink,2022,2.188,0%,2.188,0,33%,8%,59%,46%,55%,41%,24%,1%,8%,9%,9%,3%,4%,0%,0%
delft,2019,40.818,92%,40.435,383,22%,19%,59%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft,2020,17.313,0%,17.163,150,18%,18%,64%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft,2021,20.176,0%,20.025,151,16%,18%,66%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft,2022,31.737,0%,31.523,214,17%,18%,65%,27%,38%,53%,37%,17%,21%,1%,1%,2%,3%,0%,0%
delft-campus,2019,4.719,47%,4.719,0,24%,23%,53%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
delft-campus,2020,2.080,0%,2.080,0,20%,23%,57%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
delft-campus,2021,2.036,0%,2.036,0,20%,20%,60%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
delft-campus,2022,3.131,0%,3.131,0,21%,22%,57%,36%,55%,44%,34%,1%,1%,15%,4%,4%,6%,0%,0%
